Cl_SO4_ID,Dilution
               1_GX2_50115,110
               10_GX2_50045,110
               100_GX2_50164,110
               101_GX2_50205,110
               102_GX2_50180,110
               103_GX2_50210,110
               104_GX2_50282,110
               105_GX2_50049,110
               106_GX2_50126,110
               107_GX2_50033,110
               108_GX2_50252,110
               109_GX2_50270,110
               11_GX2_50026,110
               110_GX2_50006,110
               111_GX2_50106,110
               112_GX2_50067,110
               113_GX2_50189,110
               114_GX2_50300,110
               115_GX2_50214,110
               116_GX2_50090,110
               117_GX2_50248,110
               118_GX2_50283,110
               119_GX2_50066,110
               12_GX2_50299,110
               120_GX2_50142,110
               121_GX2_50271,110
               122_GX2_50218,110
               123_GX2_50207,110
               124_GX2_50149,110
               125_GX2_50298l,110
               126_GX2_50240,110
               127_GX2_50104,110
               128_GX2_50168,110
               129_GX2_50241,110
               13_GX2_50185,110
               130_GX2_50163,110
               131_GX2_50083,110
               132_GX2_50258,110
               133_GX2_50171,110
               134_GX2_50291,110
               135_GX2_50228,110
               136_GX2_50111,110
               137_GX2_50063,110
               138_GX2_50222,110
               139_GX2_50084,110
               14_GX2_50010,110
               140_GX2_50238,110
               141_GX2_50065,110
               142_GX2_50139,110
               143_GX2_50094,110
               144_GX2_50050,110
               145_GX2_50279,110
               146_GX2_50096,110
               147_PoMP3_SC_5,110
               148_PoMP2B_SC_2,110
               149_PoMP3_SC_2,110
               15_GX2_50256,110
               150_PoMP2B_SC_5,110
               151_PoMP3_SC_3,110
               152_PoMP2B_SC_3,110
               153_PoMP2B_SC_4,110
               154_PoMP3_SC_4,110
               155_PoMP3_SC_1,110
               156_PoMP2B_SC_1,110
               157_GX2_50058,27.5
               158_GX2_50261,27.5
               159_GX2_50062,27.5
               16_GX2_50287,110
               160_GX2_50178,27.5
               161_GX2_50097,27.5
               162_GX2_50165,27.5
               163_GX2_50098,27.5
               164_GX2_50105,27.5
               165_GX2_50158,27.5
               166_GX2_50116,27.5
               167_GX2_50203,27.5
               168_GX2_50092,55
               169_GX2_50209,55
               17_GX2_50220,110
               170_GX2_50103,55
               171_GX2_50120,55
               172_GX2_50132,55
               173_GX2_50250,55
               174_GX2_50172,55
               175_GX2_50004,55
               176_GX2_50072,55
               177_GX2_50082,55
               178_GX2_50174,55
               179_GX2_50061,55
               18_GX2_50247,110
               180_GX2_50225,55
               181_GX2_50053,82.5
               182_GX2_50227,82.5
               183_GX2_50173,82.5
               184_GX2_50077,82.5
               185_GX2_50143,82.5
               186_GX2_50131,82.5
               187_GX2_50122,82.5
               188_GX2_50064,82.5
               189_GX2_50170,82.5
               19_GX2_50186,110
               190_GX2_50079,82.5
               191_GX2_50007,82.5
               192_GX2_50145,82.5
               193_GX2_50138,82.5
               194_GX2_50087,82.5
               195_GX2_50089,82.5
               196_GX2_50211,82.5
               197_GX2_50196,82.5
               198_GX2_50008,82.5
               199_GX2_50014,82.5
               2_GX2_50088,110
               20_GX2_50085,110
               200_GX2_50112,82.5
               201_GX2_50027,82.5
               202_GX2_50110,82.5
               203_GX2_50133,82.5
               204_GX2_50167,82.5
               205_GX2_50109,82.5
               206_GX2_50123,82.5
               207_GX2_50224,82.5
               208_GX2_50160,82.5
               209_GX2_50216,82.5
               21_GX2_50078,110
               210_GX2_50161,82.5
               211_GX2_50035,82.5
               212_GX2_50100,82.5
               213_GX2_50249,82.5
               214_GX2_50156,82.5
               215_GX2_50152,82.5
               216_GX2_50091,82.5
               217_GX2_50239,82.5
               218_GX2_50234,165
               219_GX2_50192,165
               22_GX2_50217,110
               220_GX2_50108,165
               221_GX2_50195,165
               222_GX2_50070,165
               223_GX2_50127,165
               224_GX2_50169,165
               225_GX2_50275,165
               226_GX2_50229,165
               227_GX2_50124,165
               228_GX2_50081,165
               229_GX2_50068,165
               23_GX2_50011,110
               230_GX2_50242,165
               231_GX2_50297,165
               232_GX2_50069,220
               233_GX2_50153,220
               234_GX2_50137,220
               235_GX2_50025,220
               236_GX2_50292,220
               237_GX2_50102,220
               238_GX2_50176,220
               239_GX2_50162,220
               24_GX2_50150,110
               240_GX2_50155,220
               241_GX2_50288,220
               242_GX2_50179,220
               243_GX2_50039,220
               25_GX2_50199,110
               26_GX2_50233,110
               27_GX2_50289,110
               28_GX2_50095,110
               29_GX2_50237,110
               3_GX2_50181,110
               30_GX2_50073,110
               31_GX2_50223,110
               32_GX2_50101,110
               33_GX2_50208,110
               34_GX2_50135,110
               35_GX2_50281,110
               36_GX2_50201,110
               37_GX2_50212,110
               38_GX2_50080,110
               39_GX2_50076,110
               4_GX2_50129,110
               40_GX2_50269,110
               41_GX2_50141,110
               42_GX2_50148,110
               43_GX2_50036,110
               44_GX2_50254,110
               45_GX2_50023,110
               46_GX2_50099,110
               47_GX2_50198,110
               48_GX2_50130,110
               49_GX2_50093,110
               5_GX2_50028,110
               50_GX2_50235,110
               51_GX2_50200,110
               52_GX2_50128,110
               53_GX2_50215,110
               54_GX2_50246,110
               55_GX2_50276,110
               56_GX2_50177,110
               57_GX2_50140,110
               58_GX2_50175,110
               59_GX2_50262,110
               6_GX2_50236,110
               60_GX2_50194,110
               61_GX2_50231,110
               62_GX2_50284,110
               63_GX2_50182,110
               64_GX2_50154,110
               65_GX2_50293,110
               66_GX2_50230,110
               67_GX2_50221,110
               68_GX2_50286,110
               69_GX2_50278,110
               7_GX2_50151,110
               70_GX2_50265,110
               71_GX2_50071,110
               72_GX2_50121,110
               73_GX2_50184,110
               74_GX2_50136,110
               75_GX2_50226,110
               76_GX2_50159,110
               77_GX2_50243,110
               78_GX2_50134,110
               79_GX2_50277,110
               8_GX2_50144,110
               80_GX2_50206,110
               81_GX2_50042,110
               82_GX2_50263,110
               83_GX2_50157,110
               84_GX2_50075,110
               85_GX2_50204,110
               86_GX2_50146,110
               87_GX2_50017,110
               88_GX2_50272,110
               89_GX2_50191,110
               9_GX2_50280,110
               90_GX2_50003,110
               91_GX2_50051,110
               92_GX2_50147,110
               93_GX2_50245,110
               94_GX2_50197,110
               95_GX2_50274,110
               96_GX2_50117,110
               97_GX2_50193,110
               98_GX2_50086,110
               99_GX2_50188,110
