Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	3.313 	4.4885 	92.98 	5.2361 	46.73 
6	Standard 2	Calibration Standard	3.310 	9.2620 	92.75 	10.8046 	95.59 
7	Standard 3	Calibration Standard	3.307 	18.9814 	92.79 	22.1428 	194.58 
8	Standard 4	Calibration Standard	3.293 	98.4807 	92.77 	114.8828 	985.79 
9	Standard 5	Calibration Standard	3.290 	200.4498 	93.36 	233.8351 	1951.99 
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
11	Standard 3	Check Standard	3.310 	19.4431 	92.93 	22.6814 	199.11 
12	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
13	               1_GX2_50115	Unknown	3.300 	4729.9219 	82.26 	50.1609 	435.85 
14	               2_GX2_50088	Unknown	3.307 	2695.6472 	82.03 	28.5874 	249.79 
15	               3_GX2_50181	Unknown	3.300 	4419.6754 	82.52 	46.8707 	407.69 
16	               4_GX2_50129	Unknown	3.293 	7817.3498 	88.78 	82.9031 	714.85 
17	               5_GX2_50028	Unknown	3.300 	4148.2624 	80.52 	43.9924 	382.66 
18	               6_GX2_50236	Unknown	3.297 	7143.7013 	85.94 	75.7591 	654.12 
19	               7_GX2_50151	Unknown	3.290 	15793.8172 	86.36 	167.4937 	1436.72 
20	               8_GX2_50144	Unknown	3.303 	3246.8092 	80.97 	34.4325 	300.37 
