Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.547 	0.4538 	6.82 	0.3843 	2.63 
6	Standard 2	Calibration Standard	4.543 	0.9796 	7.12 	0.8296 	5.53 
7	Standard 3	Calibration Standard	4.537 	2.0327 	7.21 	1.7213 	11.11 
8	Standard 4	Calibration Standard	4.493 	10.5637 	7.22 	8.9457 	53.75 
9	Standard 5	Calibration Standard	4.460 	19.6429 	6.64 	16.6341 	93.40 
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
11	Standard 3	Check Standard	4.577 	2.0386 	7.07 	1.7263 	11.15 
12	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
13	               1_GX2_50115	Unknown	4.513 	717.7161 	9.06 	5.5253 	34.19 
14	               2_GX2_50088	Unknown	4.547 	31.0833 	0.69 	0.2393 	1.60 
15	               3_GX2_50181	Unknown	4.517 	597.0523 	8.09 	4.5964 	28.73 
16	               4_GX2_50129	Unknown	4.513 	683.1561 	5.63 	5.2592 	32.65 
17	               5_GX2_50028	Unknown	4.513 	669.0821 	9.43 	5.1509 	32.00 
18	               6_GX2_50236	Unknown	4.503 	950.8867 	8.30 	7.3203 	44.64 
19	               7_GX2_50151	Unknown	4.453 	2440.6310 	9.69 	18.7890 	104.08 
20	               8_GX2_50144	Unknown	4.523 	361.7587 	6.55 	2.7850 	17.67 
